epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,74.8971,1.45395,0.82713,1.21672,0.94012,0.85631,0.94011,0.56512,1.40792,0.7835,1.21273,0.0030582,0.0030582,0.0030582
141,75.3648,1.48485,0.81463,1.22502,0.9148,0.91106,0.95511,0.58109,1.38143,0.76231,1.20087,0.0029937,0.0029937,0.0029937
142,75.8854,1.41808,0.80283,1.20785,0.9372,0.9045,0.9573,0.58396,1.37165,0.77248,1.19384,0.00292961,0.00292961,0.00292961
143,76.3488,1.4345,0.8093,1.2006,0.94266,0.89697,0.95972,0.59105,1.34652,0.75748,1.18368,0.00286596,0.00286596,0.00286596
144,76.846,1.43545,0.80792,1.21762,0.93957,0.90909,0.9588,0.59206,1.35182,0.77014,1.18691,0.00280275,0.00280275,0.00280275
145,77.3272,1.42571,0.81157,1.23134,0.91595,0.92466,0.95439,0.60462,1.32276,0.75761,1.17417,0.00274,0.00274,0.00274
146,77.8043,1.47818,0.85442,1.251,0.93556,0.89697,0.956,0.58783,1.37692,0.79648,1.20691,0.00267772,0.00267772,0.00267772
147,78.2832,1.43122,0.81995,1.23344,0.94131,0.88485,0.95573,0.56583,1.43387,0.78453,1.22242,0.00261592,0.00261592,0.00261592
148,78.752,1.37041,0.79843,1.2091,0.93575,0.8827,0.95278,0.5887,1.36251,0.77777,1.1912,0.00255462,0.00255462,0.00255462
149,79.2195,1.40317,0.79674,1.23039,0.92072,0.91505,0.96227,0.60503,1.31327,0.73717,1.17336,0.00249383,0.00249383,0.00249383
150,79.6994,1.39178,0.79958,1.20061,0.95448,0.88949,0.95833,0.59645,1.35123,0.74184,1.18578,0.00243356,0.00243356,0.00243356
151,80.2348,1.4014,0.7773,1.18758,0.93863,0.92121,0.9643,0.585,1.36837,0.73331,1.19519,0.00237383,0.00237383,0.00237383
152,80.7052,1.46828,0.80135,1.2238,0.93759,0.92727,0.95669,0.60637,1.3073,0.72528,1.16492,0.00231464,0.00231464,0.00231464
153,81.1892,1.43319,0.79145,1.21622,0.93498,0.91515,0.95772,0.59227,1.36752,0.75813,1.19023,0.00225601,0.00225601,0.00225601
154,81.6576,1.36116,0.77426,1.19745,0.91658,0.93232,0.95772,0.60496,1.30923,0.73565,1.16923,0.00219794,0.00219794,0.00219794
155,82.1262,1.35923,0.76796,1.1857,0.92765,0.93244,0.95592,0.6005,1.32597,0.73677,1.17726,0.00214046,0.00214046,0.00214046
156,82.5899,1.35483,0.78116,1.17205,0.9387,0.92809,0.95975,0.58981,1.34673,0.73463,1.18653,0.00208358,0.00208358,0.00208358
157,83.0744,1.36143,0.77515,1.19811,0.9427,0.92727,0.96084,0.61378,1.29008,0.7225,1.16607,0.00202729,0.00202729,0.00202729
158,83.5563,1.41224,0.76665,1.1821,0.91029,0.92252,0.95461,0.58441,1.36698,0.7324,1.19519,0.00197163,0.00197163,0.00197163
159,84.0277,1.40282,0.78915,1.21488,0.89031,0.93465,0.94716,0.60979,1.30698,0.72893,1.17108,0.00191659,0.00191659,0.00191659
160,84.5381,1.34239,0.75445,1.1533,0.89731,0.90025,0.94921,0.57891,1.38763,0.74934,1.19972,0.00186219,0.00186219,0.00186219
